Daily Returns & Portfolio Return,,,,,,,
Daily return = Current Price / Previous Price − 1. Portfolio return = weighted sum of stock returns.,,,,,,,
,,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,Portfolio Return,NIFTY 50
26-Mar-2025,(0.96%),(0.82%),(0.60%),(0.58%),(1.78%),(0.92%),(0.77%)
27-Mar-2025,0.40%,1.04%,0.42%,0.06%,0.26%,0.49%,0.45%
28-Mar-2025,(0.24%),0.16%,(1.23%),0.88%,(2.05%),(0.44%),(0.31%)
01-Apr-2025,(1.76%),(3.30%),(1.53%),(2.22%),(2.81%),(2.33%),(1.50%)
02-Apr-2025,(0.12%),1.64%,(0.19%),0.97%,1.55%,0.72%,0.72%
03-Apr-2025,(0.20%),(0.11%),(3.97%),(0.13%),(3.46%),(1.41%),(0.35%)
04-Apr-2025,(3.52%),1.25%,(3.05%),0.43%,(3.00%),(1.56%),(1.49%)
07-Apr-2025,(3.24%),(3.28%),(0.77%),(3.58%),(3.78%),(2.89%),(3.24%)
08-Apr-2025,1.42%,0.65%,0.58%,0.96%,2.29%,1.12%,1.69%
09-Apr-2025,0.27%,(0.23%),(1.41%),0.07%,(1.76%),(0.53%),(0.61%)
11-Apr-2025,2.83%,2.37%,(0.47%),0.83%,0.41%,1.39%,1.92%
15-Apr-2025,1.74%,3.22%,0.52%,2.94%,1.17%,1.96%,2.19%
16-Apr-2025,(0.06%),0.70%,0.79%,0.46%,(0.90%),0.25%,0.47%
17-Apr-2025,2.84%,1.53%,0.77%,3.71%,0.45%,1.87%,1.77%
21-Apr-2025,1.65%,1.07%,0.69%,0.22%,2.22%,1.18%,1.15%
22-Apr-2025,(0.33%),1.80%,(0.22%),0.48%,(1.94%),0.10%,0.17%
23-Apr-2025,0.68%,(1.93%),2.97%,0.56%,3.66%,0.92%,0.67%
24-Apr-2025,0.12%,(0.37%),(0.33%),(1.52%),(0.24%),(0.39%),(0.34%)
25-Apr-2025,(0.09%),(0.29%),1.36%,0.15%,0.60%,0.29%,(0.86%)
28-Apr-2025,5.26%,0.47%,(0.13%),1.71%,0.13%,1.68%,1.20%
29-Apr-2025,2.26%,(0.59%),0.84%,0.07%,1.04%,0.75%,0.03%
30-Apr-2025,0.38%,0.85%,(0.54%),(0.20%),0.17%,0.20%,(0.01%)
02-May-2025,1.05%,(0.16%),(0.66%),0.22%,0.45%,0.19%,0.05%
05-May-2025,0.81%,0.78%,0.68%,(0.05%),0.11%,0.54%,0.47%
06-May-2025,(0.73%),(0.26%),0.17%,0.15%,0.19%,(0.16%),(0.33%)
07-May-2025,(1.05%),0.72%,(0.43%),0.27%,(0.21%),(0.16%),0.14%
08-May-2025,0.07%,(0.88%),0.11%,0.01%,0.21%,(0.15%),(0.58%)
09-May-2025,(2.12%),(2.01%),(0.25%),(3.25%),(0.25%),(1.61%),(1.10%)
12-May-2025,4.31%,3.57%,5.23%,4.29%,7.91%,4.85%,3.82%
13-May-2025,(1.45%),(1.77%),(2.91%),(1.24%),(3.58%),(2.11%),(1.39%)
14-May-2025,0.61%,(0.62%),0.96%,(0.31%),1.52%,0.37%,0.36%
15-May-2025,2.09%,1.21%,0.88%,1.72%,1.29%,1.46%,1.60%
16-May-2025,0.15%,0.05%,(0.52%),0.22%,(1.43%),(0.24%),(0.17%)
19-May-2025,(1.07%),0.21%,(1.19%),(0.34%),(1.89%),(0.79%),(0.30%)
20-May-2025,(1.12%),(1.23%),(0.58%),(0.75%),0.05%,(0.81%),(1.05%)
21-May-2025,0.32%,0.62%,0.79%,0.45%,0.51%,0.54%,0.52%
22-May-2025,(1.39%),(0.36%),(1.38%),(0.18%),(1.34%),(0.94%),(0.82%)
23-May-2025,1.23%,0.71%,1.08%,0.53%,1.12%,0.95%,0.99%
26-May-2025,0.56%,0.34%,0.65%,0.74%,1.00%,0.62%,0.60%
27-May-2025,(0.89%),(0.72%),(1.09%),(0.97%),(0.66%),(0.86%),(0.70%)
28-May-2025,(0.65%),(0.15%),(0.03%),0.51%,0.11%,(0.11%),(0.30%)
29-May-2025,0.35%,0.21%,0.01%,0.19%,0.88%,0.30%,0.33%
30-May-2025,0.22%,0.90%,(0.99%),(0.73%),(0.06%),(0.04%),(0.33%)
02-Jun-2025,(0.51%),(0.66%),(0.39%),0.33%,(0.57%),(0.41%),(0.14%)
03-Jun-2025,(0.58%),(0.39%),(1.29%),(0.87%),(0.70%),(0.74%),(0.70%)
04-Jun-2025,1.28%,0.86%,0.17%,(0.48%),0.53%,0.58%,0.32%
05-Jun-2025,1.33%,0.43%,(0.29%),1.66%,0.20%,0.66%,0.53%
06-Jun-2025,0.08%,1.49%,0.39%,0.34%,0.61%,0.61%,1.02%
09-Jun-2025,0.37%,0.01%,1.11%,(1.71%),0.58%,0.15%,0.40%
10-Jun-2025,(0.71%),(0.69%),1.20%,(0.83%),1.47%,(0.01%),0.00%
11-Jun-2025,0.72%,(0.76%),0.26%,0.57%,2.20%,0.46%,0.15%
12-Jun-2025,(0.50%),(0.36%),(1.09%),(0.41%),(1.38%),(0.70%),(1.01%)
13-Jun-2025,(0.95%),(1.33%),0.33%,(0.64%),(0.41%),(0.66%),(0.68%)
16-Jun-2025,0.69%,0.93%,1.47%,0.76%,1.36%,1.02%,0.92%
17-Jun-2025,(0.46%),(0.30%),0.54%,(0.26%),0.99%,0.03%,(0.37%)
18-Jun-2025,(0.08%),0.22%,(1.82%),(0.74%),(0.43%),(0.50%),(0.17%)
19-Jun-2025,0.22%,0.07%,(0.79%),(0.09%),(0.89%),(0.23%),(0.08%)
20-Jun-2025,2.30%,1.52%,0.34%,1.12%,0.28%,1.23%,1.29%
23-Jun-2025,(0.64%),(0.83%),(1.23%),(0.49%),(2.40%),(1.05%),(0.56%)
24-Jun-2025,(0.41%),0.64%,(0.09%),0.28%,(0.15%),0.06%,0.29%
