Historical Adjusted Price Data,,,,,,
"Actual historical data, 02-Jan-2023 to 31-Dec-2025. Stocks: Yahoo Finance/yfinance-derived adjusted prices. NIFTY 50: ^NSEI historical index close (for an index, Close is the adjusted-price series).",,,,,,
,,,,,,
Date,Reliance Industries,HDFC Bank,TCS,ICICI Bank,Infosys,NIFTY 50
19-Oct-2023,"₹1,139.34",₹725.31,"₹3,175.27",₹920.66,"₹1,304.29","₹19,624.70"
20-Oct-2023,"₹1,135.85",₹729.07,"₹3,211.01",₹917.71,"₹1,298.47","₹19,542.65"
23-Oct-2023,"₹1,118.12",₹721.05,"₹3,133.46",₹914.95,"₹1,281.54","₹19,281.75"
25-Oct-2023,"₹1,115.52",₹716.48,"₹3,115.04",₹901.33,"₹1,262.56","₹19,122.15"
26-Oct-2023,"₹1,099.98",₹700.63,"₹3,066.02",₹894.00,"₹1,252.79","₹18,857.25"
27-Oct-2023,"₹1,119.40",₹703.38,"₹3,079.07",₹898.03,"₹1,272.05","₹19,047.25"
30-Oct-2023,"₹1,142.47",₹711.02,"₹3,104.43",₹909.98,"₹1,269.01","₹19,140.90"
31-Oct-2023,"₹1,130.32",₹706.90,"₹3,095.42",₹900.59,"₹1,261.04","₹19,079.60"
01-Nov-2023,"₹1,135.01",₹705.94,"₹3,060.41",₹899.31,"₹1,247.91","₹18,989.15"
02-Nov-2023,"₹1,146.28",₹707.02,"₹3,087.47",₹905.11,"₹1,262.65","₹19,133.25"
03-Nov-2023,"₹1,146.03",₹710.37,"₹3,079.02",₹918.74,"₹1,280.07","₹19,230.60"
06-Nov-2023,"₹1,155.56",₹715.52,"₹3,105.99",₹930.20,"₹1,293.20","₹19,411.75"
07-Nov-2023,"₹1,148.06",₹712.05,"₹3,096.98",₹932.81,"₹1,294.12","₹19,406.70"
08-Nov-2023,"₹1,154.03",₹714.11,"₹3,107.18",₹920.66,"₹1,281.87","₹19,443.50"
